Date,Time,Voltage,SC_Current
14/10/2019,20:39:44,0.00,0.00
14/10/2019,20:42:43,0.00,-0.01
14/10/2019,20:45:43,0.00,0.00
14/10/2019,20:48:43,0.00,0.00
14/10/2019,20:51:43,0.00,-0.00
14/10/2019,20:54:43,0.00,-0.00
14/10/2019,20:57:43,0.00,0.00
14/10/2019,21:0:42,0.00,0.01
14/10/2019,21:3:42,0.00,-0.01
14/10/2019,21:6:42,0.00,0.00
14/10/2019,21:9:42,0.00,0.01
14/10/2019,21:12:42,0.00,-0.00
14/10/2019,21:15:41,0.00,-0.00
14/10/2019,21:18:41,0.00,0.00
14/10/2019,21:21:41,0.00,-0.00
14/10/2019,21:24:41,0.00,-0.00
14/10/2019,21:27:41,0.00,0.00
14/10/2019,21:30:40,0.00,0.01
14/10/2019,21:33:40,0.00,-0.00
14/10/2019,21:36:40,0.00,-0.00
14/10/2019,21:39:40,0.00,0.00
14/10/2019,21:42:40,0.00,-0.01
14/10/2019,21:45:40,0.00,-0.00
14/10/2019,21:48:39,0.00,0.01
14/10/2019,21:51:39,0.00,-0.01
14/10/2019,21:54:39,0.00,0.01
14/10/2019,21:57:39,0.00,0.00
14/10/2019,22:0:39,0.00,0.00
14/10/2019,22:3:38,0.00,0.00
14/10/2019,22:6:38,0.00,-0.01
14/10/2019,22:9:38,0.00,0.01
14/10/2019,22:12:38,0.00,0.01
14/10/2019,22:15:38,0.01,0.01
14/10/2019,22:18:38,0.02,0.01
14/10/2019,22:21:37,0.01,0.00
14/10/2019,22:24:37,0.01,-0.01
14/10/2019,22:27:37,0.01,0.01
14/10/2019,22:30:37,0.01,-0.01
14/10/2019,22:33:37,0.00,0.00
14/10/2019,22:36:36,0.00,-0.01
14/10/2019,22:39:36,0.01,0.00
14/10/2019,22:42:36,0.02,0.01
14/10/2019,22:45:36,0.01,0.00
14/10/2019,22:48:36,0.00,-0.01
14/10/2019,22:51:35,0.00,0.00
14/10/2019,22:54:35,0.00,0.01
14/10/2019,22:57:35,0.00,-0.00
14/10/2019,23:0:35,0.00,-0.00
14/10/2019,23:3:35,0.00,-0.00
14/10/2019,23:6:35,0.00,-0.00
14/10/2019,23:9:34,0.00,0.01
14/10/2019,23:12:34,0.00,0.01
14/10/2019,23:15:34,0.00,0.00
14/10/2019,23:18:34,0.00,0.00
14/10/2019,23:21:34,0.00,-0.00
14/10/2019,23:24:33,0.00,-0.00
14/10/2019,23:27:33,0.00,-0.01
14/10/2019,23:30:33,0.00,-0.00
14/10/2019,23:33:33,0.00,0.01
14/10/2019,23:36:33,0.00,0.01
14/10/2019,23:39:32,0.00,-0.00
14/10/2019,23:42:32,0.00,0.00
14/10/2019,23:45:32,0.00,0.00
14/10/2019,23:48:32,0.00,-0.00
14/10/2019,23:51:32,0.00,0.00
14/10/2019,23:54:32,0.00,-0.00
14/10/2019,23:57:31,0.00,0.00
15/10/2019,0:0:31,0.00,0.00
15/10/2019,0:3:31,0.00,0.00
15/10/2019,0:6:31,0.00,0.00
15/10/2019,0:9:31,0.02,-0.01
15/10/2019,0:12:30,0.02,-0.00
15/10/2019,0:15:30,0.03,0.00
15/10/2019,0:18:30,0.03,-0.01
15/10/2019,0:21:30,0.02,0.00
15/10/2019,0:24:30,0.01,-0.00
15/10/2019,0:27:29,0.00,0.00
15/10/2019,0:30:29,0.00,0.00
15/10/2019,0:33:29,0.00,0.01
15/10/2019,0:36:29,0.00,0.01
15/10/2019,0:39:29,0.00,0.01
15/10/2019,0:42:29,0.00,0.00
15/10/2019,0:45:28,0.00,0.00
15/10/2019,0:48:28,0.00,-0.00
15/10/2019,0:51:28,0.00,0.01
15/10/2019,0:54:28,0.00,-0.01
15/10/2019,0:57:28,0.00,0.00
15/10/2019,1:0:27,0.00,0.00
15/10/2019,1:3:27,0.00,0.00
15/10/2019,1:6:27,0.00,-0.00
15/10/2019,1:9:27,0.00,-0.01
15/10/2019,1:12:27,0.00,-0.00
15/10/2019,1:15:26,0.00,0.00
15/10/2019,1:18:26,0.00,0.00
15/10/2019,1:21:26,0.00,-0.00
15/10/2019,1:24:26,0.00,-0.00
15/10/2019,1:27:26,0.00,-0.01
15/10/2019,1:30:26,0.00,-0.00
15/10/2019,1:33:25,0.01,-0.00
15/10/2019,1:36:25,0.02,0.00
15/10/2019,1:39:25,0.02,-0.01
15/10/2019,1:42:25,0.03,0.00
15/10/2019,1:45:25,0.03,0.00
15/10/2019,1:48:24,0.02,-0.00
15/10/2019,1:51:24,0.01,-0.00
15/10/2019,1:54:24,0.01,-0.00
15/10/2019,1:57:24,0.01,0.01
15/10/2019,2:0:24,0.01,-0.01
15/10/2019,2:3:23,0.01,-0.01
15/10/2019,2:6:23,0.01,-0.01
15/10/2019,2:9:23,0.00,-0.00
15/10/2019,2:12:23,0.01,0.00
15/10/2019,2:15:23,0.01,0.00
15/10/2019,2:18:22,0.01,0.00
15/10/2019,2:21:22,0.01,-0.00
15/10/2019,2:24:22,0.02,-0.00
15/10/2019,2:27:22,0.01,0.00
15/10/2019,2:30:22,0.00,-0.00
15/10/2019,2:33:22,0.00,0.01
15/10/2019,2:36:21,0.00,0.00
15/10/2019,2:39:21,0.00,-0.00
15/10/2019,2:42:21,0.00,0.00
15/10/2019,2:45:21,0.00,0.00
15/10/2019,2:48:21,0.00,-0.00
15/10/2019,2:51:20,0.00,-0.01
15/10/2019,2:54:20,0.00,-0.01
15/10/2019,2:57:20,0.01,0.00
15/10/2019,3:0:20,0.01,0.01
15/10/2019,3:3:20,0.01,0.01
15/10/2019,3:6:19,0.01,-0.00
15/10/2019,3:9:19,0.01,0.00
15/10/2019,3:12:19,0.01,0.01
15/10/2019,3:15:19,0.01,-0.00
15/10/2019,3:18:19,0.02,-0.00
15/10/2019,3:21:19,0.02,0.00
15/10/2019,3:24:18,0.01,-0.01
15/10/2019,3:27:18,0.02,-0.01
15/10/2019,3:30:18,0.02,0.00
15/10/2019,3:33:18,0.03,-0.00
15/10/2019,3:36:18,0.03,0.01
15/10/2019,3:39:17,0.01,0.00
15/10/2019,3:42:17,0.01,0.01
15/10/2019,3:45:17,0.01,0.01
15/10/2019,3:48:17,0.02,0.01
15/10/2019,3:51:17,0.02,-0.00
15/10/2019,3:54:16,0.00,0.00
15/10/2019,3:57:16,0.00,0.01
15/10/2019,4:0:16,0.00,0.00
15/10/2019,4:3:16,0.00,-0.00
15/10/2019,4:6:16,0.00,0.00
15/10/2019,4:9:16,0.00,-0.00
15/10/2019,4:12:15,0.00,0.01
15/10/2019,4:15:15,0.01,-0.01
15/10/2019,4:18:15,0.01,0.01
15/10/2019,4:21:15,0.01,0.01
15/10/2019,4:24:15,0.00,-0.00
15/10/2019,4:27:14,0.01,-0.00
15/10/2019,4:30:14,0.04,-0.01
15/10/2019,4:33:14,0.13,0.00
15/10/2019,4:36:14,0.34,0.01
15/10/2019,4:39:14,0.81,-0.00
15/10/2019,4:42:13,1.77,-0.00
15/10/2019,4:45:13,3.53,0.01
15/10/2019,4:48:13,5.86,0.00
15/10/2019,4:51:13,8.38,0.00
15/10/2019,4:54:13,10.54,0.01
15/10/2019,4:57:12,12.32,0.01
15/10/2019,5:0:12,14.11,0.02
